bytes	human_size	path
161493576    155MiB ./.venv_local/lib/python3.14/site-packages/nvidia/cusolver/lib/libcusolverMg.so.11
160322296    153MiB ./.venv_local/lib/python3.14/site-packages/nvidia/nvshmem/lib/libnvshmem_host.so.3
136749240    131MiB ./.venv_local/lib/python3.14/site-packages/nvidia/curand/lib/libcurand.so.10
136380404    131MiB ./backend/ml_models/datasets/processed/codebert/dataset.csv
134808112    129MiB ./backend/ml_models/datasets/raw/npm_packages/malicious/@pnpm__macos-x64/src/package/pnpm
132692720    127MiB ./backend/ml_models/datasets/raw/npm_packages/malicious/@pnpm__macos-arm64/src/package/pnpm
128556072    123MiB ./backend/ml_models/datasets/raw/npm_packages/malicious/@pnpm__linux-x64/src/package/pnpm
128510945    123MiB ./backend/ml_models/datasets/raw/npm_packages/malicious/@pnpm__linux-arm64/src/package/pnpm
127936080    123MiB ./.venv_local/lib/python3.14/site-packages/nvidia/cudnn/lib/libcudnn_ops.so.9
127514817    122MiB ./.venv_local/lib/python3.14/site-packages/torch/lib/libtorch_cuda_linalg.so
127514817    122MiB ./backend/ml_models/datasets/raw/pypi_packages/benign/torch/src/torch/lib/libtorch_cuda_linalg.so
116388640    111MiB ./.venv_local/lib/python3.14/site-packages/nvidia/cublas/lib/libcublas.so.12
113827218    109MiB ./reports/storage/all_file_sizes.tsv
106964632    103MiB ./backend/ml_models/datasets/raw/pypi_packages/benign/nvidia-cudnn-cu12/src/nvidia/cudnn/lib/libcudnn_ops.so.9
106723760    102MiB ./backend/ml_models/datasets/raw/pypi_packages/benign/nvidia-cuda-nvrtc-cu12/src/nvidia/cuda_nvrtc/lib/libnvrtc.alt.so.12
106244480    102MiB ./backend/ml_models/datasets/raw/pypi_packages/benign/nvidia-cuda-nvrtc-cu12/src/nvidia/cuda_nvrtc/lib/libnvrtc.so.12
105140976    101MiB ./backend/ml_models/datasets/raw/pypi_packages/benign/nvidia-cublas-cu12/src/nvidia/cublas/lib/libcublas.so.12
104966520    101MiB ./.venv_local/lib/python3.14/site-packages/nvidia/cuda_nvrtc/lib/libnvrtc.alt.so.12
104487248    100MiB ./.venv_local/lib/python3.14/site-packages/nvidia/cuda_nvrtc/lib/libnvrtc.so.12
95935344    92MiB ./backend/ml_models/datasets/raw/pypi_packages/benign/nvidia-nvjitlink-cu12/src/nvidia/nvjitlink/lib/libnvJitLink.so.12
95263232    91MiB ./backend/ml_models/datasets/raw/npm_packages/malicious/@pnpm__win-x64/src/package/pnpm.exe
94101392    90MiB ./.venv_local/lib/python3.14/site-packages/nvidia/nvjitlink/lib/libnvJitLink.so.12
89568129    86MiB ./backend/ml_models/datasets/raw/pypi_packages/benign/nvidia-cuda-nvrtc-cu12/nvidia_cuda_nvrtc_cu12-12.9.86-py3-none-manylinux2010_x86_64.manylinux_2_12_x86_64.whl
77394304    74MiB ./backend/ml_models/datasets/raw/pypi_packages/malicious/cocoindex/src/cocoindex/_engine.abi3.so
72927042    70MiB ./backend/ml_models/datasets/raw/pypi_packages/benign/opencv-python/opencv_python-4.13.0.92-cp37-abi3-manylinux_2_28_x86_64.whl
71683718    69MiB ./backend/ml_models/datasets/raw/pypi_packages/benign/pyspark/src/pyspark-4.1.1/deps/jars/rocksdbjni-9.8.4.jar
69729273    67MiB ./backend/ml_models/datasets/raw/pypi_packages/benign/opencv-python/src/cv2/cv2.abi3.so
68295626    66MiB ./backend/ml_models/datasets/raw/pypi_packages/benign/nvidia-curand-cu12/nvidia_curand_cu12-10.3.10.19-py3-none-manylinux_2_27_x86_64.whl
65000912    62MiB ./backend/ml_models/datasets/raw/pypi_packages/malicious/aws-sam-cli/aws_sam_cli-1.151.0-py3-none-any.whl
61150705    59MiB ./backend/ml_models/datasets/raw/manual/codesearchnet/CodeSearchNet/resources/baseline/selfatt_predictions.csv
60822016    59MiB ./backend/ml_models/datasets/raw/pypi_packages/benign/nvidia-cudnn-cu12/src/nvidia/cudnn/lib/libcudnn_heuristic.so.9
60344710    58MiB ./backend/ml_models/datasets/raw/repos/github-advisory-database/.git/index
60012888    58MiB ./backend/ml_models/datasets/raw/pypi_packages/malicious/duckdb/src/_duckdb.cpython-314-x86_64-linux-gnu.so
59015075    57MiB ./backend/ml_models/datasets/raw/pypi_packages/benign/semgrep/semgrep-1.155.0-cp310.cp311.cp312.cp313.cp314.py310.py311.py312.py313.py314-none-manylinux2014_x86_64.whl
58726712    57MiB ./.venv_local/lib/python3.14/site-packages/nvidia/cudnn/lib/libcudnn_heuristic.so.9
57680875    56MiB ./backend/ml_models/datasets/raw/pypi_packages/benign/semgrep/semgrep-1.156.0-cp310.cp311.cp312.cp313.cp314.py310.py311.py312.py313.py314-none-manylinux2014_x86_64.whl
56873426    55MiB ./backend/ml_models/datasets/raw/npm_packages/malicious/@ensdomains__ens-contracts/src/package/build/generated/artifacts.js
56286648    54MiB ./backend/ml_models/datasets/raw/pypi_packages/benign/uv/src/uv-0.10.11.data/scripts/uv
56275173    54MiB ./backend/ml_models/datasets/raw/pypi_packages/benign/llvmlite/llvmlite-0.46.0-cp314-cp314-manylinux2014_x86_64.manylinux_2_17_x86_64.whl
55274148    53MiB ./backend/ml_models/datasets/raw/pypi_packages/malicious/ansible/ansible-13.4.0-py3-none-any.whl
52334816    50MiB ./.venv_local/lib/python3.14/site-packages/pyarrow/libarrow.so.2300
52334816    50MiB ./backend/ml_models/datasets/raw/pypi_packages/benign/pyarrow/src/pyarrow/libarrow.so.2300
49260228    47MiB ./reports/storage/all_directory_sizes.tsv
49042525    47MiB ./backend/ml_models/datasets/raw/manual/codesearchnet/CodeSearchNet/resources/baseline/nbow_predictions.csv
47614443    46MiB ./backend/ml_models/datasets/raw/pypi_packages/benign/pyarrow/pyarrow-23.0.1-cp314-cp314-manylinux_2_28_x86_64.whl
47173065    45MiB ./backend/ml_models/datasets/raw/pypi_packages/malicious/apache-superset/apache_superset-6.0.0.tar.gz
43563448    42MiB ./.venv_local/lib/python3.14/site-packages/triton/backends/nvidia/lib/cupti/libcupti_static.a
43563448    42MiB ./backend/ml_models/datasets/raw/pypi_packages/benign/triton/src/triton/backends/nvidia/lib/cupti/libcupti_static.a
42940853    41MiB ./backend/ml_models/datasets/raw/pypi_packages/malicious/Gradio/gradio-6.9.0-py3-none-any.whl
39748338    38MiB ./backend/ml_models/datasets/raw/pypi_packages/benign/nvidia-nvjitlink-cu12/nvidia_nvjitlink_cu12-12.9.86-py3-none-manylinux2010_x86_64.manylinux_2_12_x86_64.whl
39371479    38MiB ./backend/ml_models/datasets/raw/npm_packages/malicious/@duckdb__duckdb-wasm/src/package/dist/duckdb-mvp.wasm
38683921    37MiB ./backend/ml_models/datasets/raw/pypi_packages/benign/opencv-python/src/opencv_python.libs/libopenblasp-r0-59ffcd50.3.15.so
37317473    36MiB ./.venv_local/lib/python3.14/site-packages/cuda/bindings/driver.cpp
37268728    36MiB ./backend/ml_models/datasets/raw/npm_packages/malicious/@prisma__sdk/src/package/dist/libquery_engine-debian-openssl-1.1.x.so.node
37268728    36MiB ./backend/ml_models/datasets/raw/npm_packages/malicious/@prisma__sdk/src/package/dist/get-generators/libquery_engine-debian-openssl-1.1.x.so.node
37268728    36MiB ./backend/ml_models/datasets/raw/npm_packages/malicious/@prisma__sdk/src/package/dist/get-generators/engines/461d6a05159055555eb7dfb337c9fb271cbd4d7e/libquery_engine-debian-openssl-1.1.x.so.node
37105401    36MiB ./backend/ml_models/datasets/raw/pypi_packages/malicious/cvxopt/src/cvxopt.libs/libopenblas-r0-11edc3fa.3.15.so
36438395    35MiB ./backend/ml_models/datasets/raw/pypi_packages/malicious/docassemble.webapp/docassemble_webapp-1.9.2-py3-none-any.whl
35898161    35MiB ./backend/ml_models/datasets/raw/npm_packages/malicious/@fastly__js-compute/src/package/fastly.debug.wasm
35221333    34MiB ./backend/ml_models/datasets/raw/pypi_packages/benign/scipy/scipy-1.17.1-cp314-cp314-manylinux_2_27_x86_64.manylinux_2_28_x86_64.whl
34931056    34MiB ./.venv_local/lib/python3.14/site-packages/triton/backends/nvidia/bin/ptxas-blackwell
34931056    34MiB ./backend/ml_models/datasets/raw/pypi_packages/benign/triton/src/triton/backends/nvidia/bin/ptxas-blackwell
34542851    33MiB ./backend/ml_models/datasets/raw/pypi_packages/benign/mysql-connector-python/mysql_connector_python-9.6.0-cp314-cp314-manylinux_2_28_x86_64.whl
34248937    33MiB ./backend/ml_models/datasets/raw/npm_packages/malicious/@duckdb__duckdb-wasm/src/package/dist/duckdb-eh.wasm
33974515    33MiB ./backend/ml_models/datasets/raw/npm_packages/malicious/@duckdb__duckdb-wasm/src/package/dist/duckdb-coi.wasm
33480030    32MiB ./.venv_local/lib/python3.14/site-packages/triton/backends/nvidia/lib/cupti/libnvperf_host_static.a
33480030    32MiB ./backend/ml_models/datasets/raw/pypi_packages/benign/triton/src/triton/backends/nvidia/lib/cupti/libnvperf_host_static.a
33373184    32MiB ./backend/ml_models/datasets/raw/pypi_packages/benign/mypy/src/4c842c94c09923bae9e4__mypyc.cpython-314-x86_64-linux-gnu.so
32580809    32MiB ./.venv_local/lib/python3.14/site-packages/torch/lib/libtorch_python.so
32580809    32MiB ./backend/ml_models/datasets/raw/pypi_packages/benign/torch/src/torch/lib/libtorch_python.so
31912192    31MiB ./.venv_local/lib/python3.14/site-packages/triton/backends/nvidia/bin/ptxas
31912192    31MiB ./backend/ml_models/datasets/raw/pypi_packages/benign/triton/src/triton/backends/nvidia/bin/ptxas
31483576    31MiB ./backend/ml_models/datasets/raw/pypi_packages/benign/nvidia-cudnn-cu12/src/nvidia/cudnn/lib/libcudnn_engines_runtime_compiled.so.9
31209212    30MiB ./.venv_local/lib/python3.14/site-packages/nvidia/nvshmem/lib/libnvshmem_device.bc
30551707    30MiB ./backend/ml_models/datasets/raw/manual/codesearchnet/CodeSearchNet/.git/objects/pack/pack-7375138b4e2e157ea14c1d0c707d5f4b464048b0.pack
